Number,Lng,Lat,Location
0,114.1724234,22.3366793,City University of Hong Kong
1,114.1693611,22.3193039,Hong Kong
2,114.1602846,22.3285899,Sham Shui Po
3,114.2227035,22.2824738,Sai Wan Ho
4,114.1045461,22.3617908,Nga Ying Chau
5,114.0619944,22.3553961,Pak Wan
6,114.1620857,22.3198474,Tai Kok Tsui
7,114.202226,22.292525,North Point Estate
8,114.1524398,22.2483068,Aberdeen
9,114.1495383,22.2467188,Shek Pai Wan
10,114.1973004,22.3443279,Fung Wong Building
11,114.1929813,22.3429615,Chuk Yuen
12,114.1862935,22.3223949,Ma Tau Wai
13,114.1929813,22.3206419,Ma Tau Kok
14,114.0041996,22.4606419,Tin Shui Wai
15,113.990567,22.463971,Sha Kong Wai Tsai
16,114.166317,22.443174,Pak Kiu
17,114.1989259,22.3364426,San Po Kong
18,114.1926098,22.3356965,Nga Tsin Wai
19,114.2011551,22.3409726,Tai Hom Village
20,114.1929813,22.3429615,Wong Tai Sin
21,114.1887233,22.3055658,Hung Hom
22,114.145532,22.2758835,Victoria
23,114.1417059,22.2875634,Sai Ying Pun
24,114.23833,22.287655,Ma Wan Tsuen
25,114.2286476,22.278746,Shau Kei Wan
26,114.1682161,22.29400852,Tsin Shui Ma Tau
27,114.2375638,22.3080199,Ham Tin
28,114.1329186,22.3609713,Tai Lin Pai
29,114.169773,22.3203648,Mong Kok
30,114.1338924,22.2863914,Shek Tong Tsui
31,114.133174,22.3714259,Yau Ma Hom
32,114.1302591,22.3668502,Kwai Chung
33,114.160759,22.457839,Ying Pun Ha
34,114.16538,22.454115,Kau Hui Chik Street Tai Po
35,114.2632993,22.3251334,Ap Tsai Shan
36,114.2119894,22.3323748,Ping Shek Playground
37,114.192803,22.2884683,North Point
38,114.1144306,22.3699122,Tsuen Wan
39,114.1131965,22.37678884,Tai Uk Wai
40,114.1862935,22.3405302,Wang Tau Hom
41,114.100716,22.353988,Tai Wong Ha
42,114.1057749,22.3512067,Sheung Ko Tan
43,114.2375638,22.3080199,Lam Tin
44,114.1023164,22.3474872,Tsing Yi Town
45,113.9868782,22.42863109,Tsing Leng Tsui
46,114.1066942,22.3506291,Ha Ko Tan
47,114.198292,22.383029,Wong Uk
48,114.1494892,22.3358055,Cheung Sha Wan
49,114.197615,22.377823,Sha Tin Wai
50,114.1990213,22.3808428,Yuen Chau Kok
51,114.1974398,22.3771304,Sha Tin
52,113.9701553,22.400942,Shek Pai Tau
53,114.2123009,22.2827206,Quarry Bay
54,114.1303197,22.3804176,Sam Tung Uk
55,114.1180595,22.37062249,Sheung Hoi Pa
56,114.1256159,22.37021601,Tai Wo Hau Estate
57,114.070051,22.423686,Sam Tsuen
58,114.1142032,22.3726962,Hoi Pa
59,114.251992,22.317462,Mau Wu Tsai
60,114.2225156,22.2815457,Holy Cross Path Village
61,114.1708026,22.3210526,Fa Yuen
62,114.1862935,22.3209999,Kau Pui Lung
63,114.2161293,22.28343568,Fu Tau Wat
64,114.2213703,22.2816157,Shing On
65,114.2402751,22.4276756,Ma On Shan
66,113.869886,22.251107,Wang Hang
69,114.1755339,22.318507,Ho Man Tin
70,114.2167592,22.322466,Ngau Tau Kok
71,114.2175022,22.3244408,Jordan Valley
72,114.09849,22.524627,Ma Tso Lung
73,114.130402,22.502011,Shek Wu Hui
74,114.2443371,22.2635812,Lok Kang Po
76,114.0222076,22.4445376,Yuen Long
77,114.247337,22.351527,Nam Pin Wai
78,114.033953,22.44668,Yuen Long Kau Hui
79,114.0322266,22.4481134,Sai Pin Wai
80,114.1744039,22.3312462,Yau Yat Tsuen
81,114.1788626,22.2761345,Morrison Hill
82,113.937232,22.278347,Sheung Ling Pei
83,113.935297,22.277832,Ha Ling Pei
84,113.984489,22.468172,Lau Fau Shan
85,114.197008,22.375928,Fui Yiu Ha
86,113.978932,22.399455,Wong Ka Wai
87,114.059207,22.3500753,Ma Wan
88,113.934428,22.277108,Lung Tseng Tau
89,114.2041274,22.339108,Ha Yuen Leng
90,114.201208,22.3382724,Choi Hung
91,114.163648,22.456732,San Wai Tsai
92,114.143106,22.497932,Luen Wo Market
93,114.1250515,22.5026376,Choi Yuen Road Sheung Shui
94,114.140502,22.497218,Fan Leng Tai Wai
95,114.135772,22.497942,Fan Leng Pak Wai
96,114.135772,22.497942,Fan Leng Nam Wai
97,114.131162,22.500194,So Kwun Po
98,114.129372,22.49364,Kai Leng
99,114.1379788,22.2516355,Wah Fu Road
100,114.1414685,22.4916829,Fanling
